Partido
Equipos,'CORAS - TORRE',Temporada,'2018-19: Temporada 2018-19',Fecha,31/3/19 8:30 p. m.
Liga,NAC FEM: 1ª Nacional Femenina,Tipo,Oficial,Ubicación,Colegio Corazonistas

Totales por Periodo
Equipo,Periodo 1,Periodo 2,Periodo 3,Periodo 4,Total
 CORAS,26,19,13,23,81
 TORRE,9,10,7,11,37
B. Torrelodones
Jugador,PTS,TC2,TC3,TL,AS,TAP,REBO,REBD,RBBP,REBT,REC,DES,F,PER,'+F',TIEMPO,EFI
 4 Ingrid M. Llamas,0,0/0,0/0,0/0,,,,1,,1,,1,,1,,,0.0
 5 Kristina Goncharuk,2,1/4,0/2,0/0,,,,3,,3,,,3,3,1,,'-6.0'
 8 Claudia Gomez,9,3/12,0/1,3/5,2,,1,5,,6,,1,1,4,5,,0.0
 11 Itziar Ugarte,2,1/3,0/2,0/0,,,,1,,1,2,1,3,3,,,'-5.0'
 14 Laura Garcia,2,1/3,0/0,0/0,,1,2,3,,5,,1,1,,,,5.0
 15 Cristina Amengual,4,2/8,0/2,0/0,1,3,,5,,5,2,,4,4,1,,'-1.0'
 17 Tamara Herrera,10,2/3,2/4,0/0,,,,3,,3,1,1,,,,,11.0
 20 Alba Segovia,0,0/3,0/0,0/2,,,1,2,,3,,,1,3,1,,'-6.0'
 55 Arantxa Valledor,0,0/4,0/1,0/0,1,,,1,,1,,2,1,2,1,,'-6.0'
 62 Aminata Brahima,8,4/6,0/0,0/4,,,2,2,,4,1,1,,1,3,,6.0
 Sin asignar,0,0/0,0/0,0/0,,,2,,,2,,,,1,,,1.0
 Total,37,14/46,2/12,3/11,4,4,8,26,,34,6,8,14,22,12,,'-1.0'
B. Torrelodones Resumen de Tiros
,TC,TC%,TC3,TC3%,TL,TL%
 1º Mitad,8/28,28%,0/5,0%,3/7,42%
 2ª Mitad,8/30,26%,2/7,28%,0/4,0%
 Total,16/58,27%,2/12,16%,3/11,27%
Corazonistas
Jugador,PTS,TC2,TC3,TL,AS,TAP,REBO,REBD,RBBP,REBT,REC,DES,F,PER,'+F',TIEMPO,EFI
 5 Paula Prada,2,1/4,0/3,0/0,1,,,1,,1,,,,,,9:05,'-2.0'
 6 Carmen Benito,10,2/2,0/0,6/7,3,1,1,7,,8,,,1,,4,31:10,20.0
 7 Ana Sesma,0,0/1,0/4,0/0,,,,,,,1,,,,1,16:40,'-4.0'
 10 Silvia Mesa,4,2/2,0/3,0/0,2,,,1,,1,,2,1,3,,19:45,0.0
 15 Maria Conejero,10,4/5,0/1,2/2,2,,1,,,1,4,1,1,1,2,23:20,13.0
 16 Noelia Olmeda,11,4/7,1/5,0/0,4,,1,7,,8,2,,1,1,,21:10,16.0
 17 Natalia Gonzalez,4,2/5,0/0,0/0,5,,3,4,,7,,1,2,2,1,15:05,9.0
 19 Teresa Gracia,5,1/1,1/7,0/0,,,1,3,,4,,,2,1,,18:45,0.0
 33 Amparo Lazaro,15,6/8,0/0,3/3,2,,5,10,,15,6,,2,2,2,18:30,32.0
 40 Mª Carmen Lopez,20,7/8,2/4,0/0,3,,,,,,4,1,2,1,4,26:30,21.0
 Sin asignar,0,0/0,0/0,0/0,,,4,4,,8,,,,1,,,7.0
 Total,81,29/43,4/27,11/12,22,1,16,37,,53,17,5,12,12,14,200:00,112.0
Corazonistas Resumen de Tiros
,TC,TC%,TC3,TC3%,TL,TL%
 1º Mitad,18/41,43%,3/20,15%,6/6,100%
 2ª Mitad,15/29,51%,1/7,14%,5/6,83%
 Total,33/70,47%,4/27,14%,11/12,91%
Jugadas del Partido de Un Solo Equipo
Equipo,TC,TL,POS,P/POS,P/INT,ZONA,BANC,VENT
 Corazonistas,33/70,11,77,1.14,1.16,27/37,25,48
 B. Torrelodones,16/58,3,77,0.48,0.64,12/36,37,0
Jugadas del partido combinadas
Equipo,REBO%,REBD%,REBT%,POSD,PTRO,'P-PE'
 Corazonistas,38.1%,82.2%,60.9%,59,4,21
 B. Torrelodones,17.8%,61.9%,39.1%,38,4,9
