Partido
Equipos,'CORAS - DTOL',Temporada,'2018-19: Temporada 2018-19',Fecha,10/3/19 12:30 p. m.
Liga,NAC FEM: 1ª Nacional Femenina,Tipo,Oficial,Ubicación,Colegio Corazonistas

Totales por Periodo
Equipo,Periodo 1,Periodo 2,Periodo 3,Periodo 4,Total
 CORAS,18,17,15,15,65
 DTOL,19,11,11,14,55
Distrto Olimpico
Jugador,PTS,TC2,TC3,TL,AS,TAP,REBO,REBD,RBBP,REBT,REC,DES,F,PER,'+F',TIEMPO,EFI
 0 Marta Alonso,10,2/4,1/5,3/3,,1,2,2,,4,1,,,4,2,,7.0
 4 Paula Alvarez,2,1/3,0/2,0/0,,,1,,,1,1,1,4,5,1,,'-9.0'
 5 Blanca Arranz,5,1/1,1/1,0/0,1,,,2,,2,,,,,,,8.0
 8 Sara Sanchez,0,0/1,0/3,0/0,1,,,1,,1,,,,3,,,'-5.0'
 9 Marta Vargas,0,0/1,0/0,0/0,,2,1,,,1,,,,,,,2.0
 10 Andrea Sarria,2,1/4,0/0,0/0,2,,4,3,,7,,,3,2,1,,4.0
 11 Marta Bacete,0,0/0,0/2,0/0,1,,1,3,,4,1,,1,,2,,5.0
 16 Elena Diaz,4,2/4,0/0,0/0,,,,3,,3,,,3,3,,,'-2.0'
 27 Carla Diaz,10,3/8,0/3,4/4,,,2,5,,7,1,2,,1,2,,11.0
 30 Beatriz Domenech,6,0/6,0/1,6/6,2,,1,8,,9,1,,2,1,5,,13.0
 33 Sara Gutierrez,11,1/1,3/6,0/0,2,,,2,,2,1,,1,3,1,,10.0
 88 Silvia Rueda,5,1/1,1/1,0/0,1,,,,,,,,2,1,,,3.0
 Sin asignar,0,0/0,0/0,0/0,,,1,4,,5,,,,,,,5.0
 Total,55,12/34,6/24,13/13,10,3,13,33,,46,6,3,16,23,14,,52.0
Distrto Olimpico Resumen de Tiros
,TC,TC%,TC3,TC3%,TL,TL%
 1º Mitad,9/27,33%,3/12,25%,9/9,100%
 2ª Mitad,9/31,29%,3/12,25%,4/4,100%
 Total,18/58,31%,6/24,25%,13/13,100%
Corazonistas
Jugador,PTS,TC2,TC3,TL,AS,TAP,REBO,REBD,RBBP,REBT,REC,DES,F,PER,'+F',TIEMPO,EFI
 5 Paula Prada,0,0/0,0/2,0/0,,,,,,,1,,1,,,8:35,'-2.0'
 6 Carmen Benito,8,2/4,0/0,4/6,,,6,5,,11,1,1,2,2,3,22:15,15.0
 7 Ana Sesma,5,1/1,1/1,0/0,,,,2,,2,,,1,,,14:25,6.0
 10 Silvia Mesa,6,0/1,1/3,3/4,1,,,,,,3,,1,2,2,11:05,5.0
 15 Maria Conejero,7,2/8,1/4,0/0,1,,,1,,1,4,1,1,1,1,29:50,4.0
 16 Noelia Olmeda,10,2/6,2/6,0/0,,,,2,,2,1,1,2,4,,22:35,'-1.0'
 17 Natalia Gonzalez,4,2/5,0/0,0/0,1,,3,4,,7,1,1,,1,,12:00,9.0
 19 Teresa Gracia,6,0/3,1/8,3/3,,1,1,4,,5,1,,2,2,2,25:10,0.0
 33 Amparo Lazaro,8,4/10,0/0,0/2,5,1,5,6,,11,4,2,2,1,3,23:05,20.0
 40 Mª Carmen Lopez,11,4/9,0/2,3/5,3,,3,3,,6,3,1,2,,5,31:00,16.0
 Sin asignar,0,0/0,0/0,0/0,,,1,2,,3,,,,2,,,1.0
 Total,65,17/47,6/26,13/20,11,2,19,29,,48,19,7,14,15,16,200:00,73.0
Corazonistas Resumen de Tiros
,TC,TC%,TC3,TC3%,TL,TL%
 1º Mitad,13/34,38%,4/13,30%,5/11,45%
 2ª Mitad,10/39,25%,2/13,15%,8/9,88%
 Total,23/73,31%,6/26,23%,13/20,65%
Jugadas del Partido de Un Solo Equipo
Equipo,TC,TL,POS,P/POS,P/INT,ZONA,BANC,VENT
 Corazonistas,23/73,13,78,0.83,0.89,16/42,23,15
 Distrto Olimpico,18/58,13,78,0.74,0.95,9/26,55,7
Jugadas del partido combinadas
Equipo,REBO%,REBD%,REBT%,POSD,PTRO,'P-PE'
 Corazonistas,36.5%,69.0%,51.1%,52,6,20
 Distrto Olimpico,31.0%,63.5%,48.9%,48,2,6
